Retailer,SKU,Units,UnitPrice,StartDate,EndDate,SourceFile
Amazon,EZC21B,1,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,6,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,6,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,6,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZTHWF,2,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,7,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,4/29/2024,5/3/2024,2024 All Sheets.xlsx::Amazon
Amazon,EGLAI1,48,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,14,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,12,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21B,1,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,23,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,2,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,5/6/2024,5/10/2024,2024 All Sheets.xlsx::Amazon
Amazon,EGLAI1,64,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,3,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,15,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,7,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,4,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,7,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21B,1,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZTHWF,1,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,1,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,7,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,2,,5/13/2024,5/17/2024,2024 All Sheets.xlsx::Amazon
Amazon,Artus-11 Brass,2,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EGLAI1,93,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,2,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,5,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,9,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,10,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,6,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,6,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZTHWF,4,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,6,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,9,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,8,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
